{'cname': '鑫启元（北京）建筑工程有限公司', 'corcode': '91110116MAC3M7A049', 'cid': '002212312027452284'}
{'cname': '北京沅达建设有限公司', 'corcode': '91110111MA00GH1X7L', 'cid': '002105291247646119'}
{'cname': '北京峰宇魁元建设工程有限公司', 'corcode': '911101157916223580', 'cid': '002105291240503100'}
{'cname': '北京亦庄新城园林绿化有限公司', 'corcode': '91110302600037122N', 'cid': '002105291240503102'}
{'cname': '北京盛天润建筑工程有限公司', 'corcode': '911101175531498415', 'cid': '002105291240514528'}
{'cname': '北京铁电通联环保科技有限公司', 'corcode': '91110106102184576M', 'cid': '002105291240514541'}
{'cname': '地球科探（北京）工程技术有限公司', 'corcode': '91110105560392364G', 'cid': '002105291240514543'}
{'cname': '博正（北京）建筑设备安装有限公司', 'corcode': '91110302339778495C', 'cid': '002105291240503103'}
{'cname': '北京亚泰科工钢结构工程有限公司', 'corcode': '911101143273147733', 'cid': '002105291240499572'}
{'cname': '北京金源汇程建筑工程有限公司', 'corcode': '911101140592920283', 'cid': '002105291240522968'}
{'cname': '北京中海威环保科技有限公司', 'corcode': '91110115771575777B', 'cid': '002105291240507625'}
{'cname': '北京筑邦建设有限责任公司', 'corcode': '91110101101241436B', 'cid': '002105291240522916'}
{'cname': '北京通扬斯大热能设备有限公司', 'corcode': '911101127488369835', 'cid': '002105291240522919'}
{'cname': '北京祥龙通达建筑加固工程有限公司', 'corcode': '91110105680465708X', 'cid': '002105291240522920'}
{'cname': '北京鑫宝盛建筑装饰工程有限公司', 'corcode': '911102291030526201', 'cid': '002105291240522921'}
{'cname': '北京楠楠顺达建筑工程有限公司', 'corcode': '91110116MA004GDF8H', 'cid': '002105291240507645'}
{'cname': '北京德安节能暖通工程有限公司', 'corcode': '91110112335578808A', 'cid': '002105291240514394'}
{'cname': '北京亿嘉乐建设有限公司', 'corcode': '91110111MA04C2T301', 'cid': '002110231910204743'}
{'cname': '中锦国华（北京）建设集团有限公司', 'corcode': '91110109MA01X7MP1G', 'cid': '002110281915206927'}
{'cname': '北京瑞特机械设备起重搬运有限公司', 'corcode': '911101110962788905', 'cid': '002110231910204744'}
{'cname': '中泰恒宇（北京）建筑装饰工程有限公司', 'corcode': '91110119MA04CRG605', 'cid': '002110231910204758'}
{'cname': '北京富鑫天成工程技术有限公司', 'corcode': '91110111MA04D1GB6K', 'cid': '002110231910204742'}
{'cname': '北京国都凌翔科技有限公司', 'corcode': '91110108MA01AK0Y52', 'cid': '002111111911215394'}
{'cname': '北京包钢新源科技有限公司', 'corcode': '91110108MA00D1GG3T', 'cid': '002111111911215395'}
{'cname': '中鼎国裕（北京）建设有限公司', 'corcode': '91110109MA04DREUXH', 'cid': '002110231910204489'}
{'cname': '北京易安德建设工程有限公司', 'corcode': '91110109MA04DTAL6K', 'cid': '002110231910204490'}
{'cname': '中博鑫源（北京）建筑工程有限公司', 'corcode': '91110109MA04DRBR67', 'cid': '002110231910204491'}
{'cname': '北京达飞装饰设计有限公司', 'corcode': '91110112757717716W', 'cid': '002110271912206208'}
{'cname': '中宏昊瑞（北京）建设有限公司', 'corcode': '91110109MA04DRNR29', 'cid': '002110231910204492'}
{'cname': '北京华泽世纪环境艺术有限公司', 'corcode': '91110115681236253P', 'cid': '002111121911216129'}
{'cname': '北京易用视点科技有限公司', 'corcode': '91110107799024627Q', 'cid': '002111131910216973'}
{'cname': '北京荣创恒生建筑工程有限公司', 'corcode': '91110117MA04FLU6XK', 'cid': '002111131910216974'}
{'cname': '北京哈尔斯环境工程有限公司', 'corcode': '91110109MA01TA0G4R', 'cid': '002105291313931209'}
{'cname': '北京三合亨通机电工程有限公司', 'corcode': '91110113MA018WYT2P', 'cid': '002105291313931564'}
{'cname': '北京机械工业自动化研究所有限公司', 'corcode': '91110102400000018P', 'cid': '002105291306903125'}
{'cname': '北京商海文天科技发展有限公司', 'corcode': '9111010875333702X1', 'cid': '002105291312907374'}
{'cname': '北京瑞华赢科技发展股份有限公司', 'corcode': '911103027226192351', 'cid': '002105291313932256'}
{'cname': '至宸建设工程（北京）有限公司', 'corcode': '91110109MA01QLXK0X', 'cid': '002105291312907386'}
{'cname': '北京耀信建设有限公司', 'corcode': '91110111MA01UD4023', 'cid': '002105291313932955'}
{'cname': '天瑞锦地（北京）建筑工程有限公司', 'corcode': '91110109MA01Q8A057', 'cid': '002105291312907387'}
{'cname': '北京金桐劳务服务有限公司', 'corcode': '91110115MA0024YR6H', 'cid': '002105291306899975'}
{'cname': '北京锐启建筑工程有限公司', 'corcode': '91110113MA01Q9RY48', 'cid': '002105291312904600'}
{'cname': '北京中凯达自动化工程有限公司', 'corcode': '911103025585844200', 'cid': '002105291306899976'}
{'cname': '北京合福巢机电安装工程有限公司', 'corcode': '91110111MA01R8M15A', 'cid': '002105291306899977'}
{'cname': '北京皓海之业建筑装饰工程有限公司', 'corcode': '91110116MA00ABUM2Y', 'cid': '002105291306899978'}
{'cname': '北京绿实科技有限公司', 'corcode': '91110115MA01RYKQ8Q', 'cid': '002105291306899979'}
{'cname': '北京厚德汇丰物业有限公司', 'corcode': '91110113MA0042NT8F', 'cid': '002105291306899980'}
{'cname': '瑞奕斯（北京）建设工程有限公司', 'corcode': '91110116055568138R', 'cid': '002105291241625192'}
{'cname': '北京鑫轩通市政工程有限公司', 'corcode': '91110228MA005T2E0T', 'cid': '002105291241625198'}
{'cname': '北京华青建筑工程有限公司', 'corcode': '91110115MA00GQ0132', 'cid': '002105291241625208'}
{'cname': '德韦国际装饰工程（北京）有限公司', 'corcode': '91110229MA008KAJ4U', 'cid': '002105291241625523'}
{'cname': '顺达百艺（北京）工程设备有限公司', 'corcode': '911101130612632345', 'cid': '002105291241625209'}
{'cname': '中科安祥（北京）建设工程有限公司', 'corcode': '91110109MA00F99519', 'cid': '002105291241625525'}
{'cname': '北京畅达伟业市政工程有限公司', 'corcode': '91110113L41134454Y', 'cid': '002105291241625210'}
{'cname': '北京百利建筑装饰工程有限公司', 'corcode': '911101050945672933', 'cid': '002105291241625530'}
{'cname': '北京艺顺天科技发展有限公司', 'corcode': '91110113MA01FQHY7T', 'cid': '002105291241625211'}
{'cname': '北京博望华科科技有限公司', 'corcode': '91110108737657680B', 'cid': '002105291248647240'}
{'cname': '北京雨人润科生态技术有限责任公司', 'corcode': '911101085923568786', 'cid': '002105291241625672'}
{'cname': '北京中时工程设计有限公司', 'corcode': '91110228MA01D8NH6G', 'cid': '002105291241625673'}
{'cname': '北京泰瑞思装饰工程有限公司', 'corcode': '911101057899950836', 'cid': '002105291241625681'}
{'cname': '北京顶超森建筑项目管理有限公司', 'corcode': '91110105357926244H', 'cid': '002105291241625545'}
{'cname': '北京多华消防安全工程安装有限公司', 'corcode': '91110106740073387W', 'cid': '002105291242638285'}
{'cname': '北京雨林德海科技有限公司', 'corcode': '91110106MA04CQYH24', 'cid': '002202102018271107'}
{'cname': '北京景杰建筑工程有限公司', 'corcode': '91110109MA7DHXL83X', 'cid': '002202222018275517'}
{'cname': '北京中新华建装饰工程有限公司', 'corcode': '91110116MA01G4XN40', 'cid': '002203092006282494'}
{'cname': '北京顺兴建业建筑工程有限公司', 'corcode': '91110109MA02MAG75A', 'cid': '002112261919245019'}
{'cname': '北京恒睿易创科技有限责任公司', 'corcode': '91110109MA7D580X04', 'cid': '002202151502273072'}
{'cname': '北京兴庞建筑装饰工程有限公司', 'corcode': '91110115MA7DUWQ67T', 'cid': '002202151502273073'}
{'cname': '北京中软国际信息技术有限公司', 'corcode': '9111010871774535X9', 'cid': '002202212018274900'}
{'cname': '北京倍斯特建筑工程有限责任公司', 'corcode': '91110115MA001KEG75', 'cid': '002203052006281106'}
{'cname': '北京博能科技股份有限公司', 'corcode': '91110108780964686N', 'cid': '002202212018274901'}
{'cname': '中联众科建设工程有限公司', 'corcode': '91110115MA009N4E94', 'cid': '002202212018274902'}
{'cname': '北京中梵建设工程有限公司', 'corcode': '91110109MA02AYLA13', 'cid': '002202222019275519'}
{'cname': '北京承誉建筑有限公司', 'corcode': '91110109MA7E4N3Q9U', 'cid': '002202222019275520'}
{'cname': '北京康顺通工程监理有限公司', 'corcode': '91110114MA7GF67W9L', 'cid': '002201222018264183'}
{'cname': '中铁旸谷（北京）智慧科技产业有限公司', 'corcode': '91110106MA01K6N42M', 'cid': '002201061917252336'}
{'cname': '图林科技（北京）有限责任公司', 'corcode': '91110109MA01CTRR5B', 'cid': '002201262018265934'}
{'cname': '北京市雅丽间建筑工程队', 'corcode': '91110101101115253U', 'cid': '002105291240491608'}
{'cname': '北京天业融筑建设工程有限公司', 'corcode': '91110106094565335Q', 'cid': '002105291240492825'}
{'cname': '北京亚太佳信机电设备安装工程有限公司', 'corcode': '9111010669082265XL', 'cid': '002105291240492826'}
{'cname': '北京大成兴地基础工程有限公司', 'corcode': '911102287899739688', 'cid': '002105291240492827'}
{'cname': '北京军永建筑劳务有限公司', 'corcode': '911102285657660387', 'cid': '002105291240492828'}
{'cname': '北京鑫祥海生建筑劳务分包有限公司', 'corcode': '911102286923314084', 'cid': '002105291240492829'}
{'cname': '北京泰科立高新技术有限公司', 'corcode': '9111010874231835XL', 'cid': '002105291240492830'}
{'cname': '北京鸿成盛世科技发展有限公司', 'corcode': '911101066835923822', 'cid': '002105291240492831'}
{'cname': '北京利通华程建筑工程有限公司', 'corcode': '911101113183516605', 'cid': '002105291240481879'}
{'cname': '北京格瑞消防工程有限公司', 'corcode': '91110105700184584R', 'cid': '002105291240481880'}
{'cname': '北京三丰源金属装饰工程有限公司', 'corcode': '91110302597688759H', 'cid': '002105291240481881'}
{'cname': '北京华文永青装饰工程有限公司', 'corcode': '91110106670562918K', 'cid': '002105291240481883'}
{'cname': '北京市海淀区友谊建筑工程公司', 'corcode': '911101081019155762', 'cid': '002105291240481884'}
{'cname': '北京住六欣跃机电安装工程有限公司', 'corcode': '91110101735580536K', 'cid': '002105291240481885'}
{'cname': '北京世纪竹邦能源技术股份有限公司', 'corcode': '911101057467410405', 'cid': '002105291240481886'}
{'cname': '北京纳波湾筑业建设工程有限公司', 'corcode': '91110115MA01WGAK33', 'cid': '002105291328043031'}
{'cname': '东新（北京）建筑工程有限公司', 'corcode': '91110116MA01P1MM7B', 'cid': '002105291323020015'}
{'cname': '北京琳丹华宇工程技术有限责任公司', 'corcode': '91110304MA01CDW963', 'cid': '002105291328043713'}
{'cname': '北京林平达建筑工程有限公司', 'corcode': '91110117MA01X5D39B', 'cid': '002105291323021385'}
{'cname': '北京百利达防腐工程有限公司', 'corcode': '911101087002000035', 'cid': '002105291323020361'}
{'cname': '西西建设股份有限公司', 'corcode': '91110115MA01B2BR49', 'cid': '002105291328042001'}
{'cname': '北京中泰宏伟建筑工程有限公司', 'corcode': '91110114MA01F4EE4X', 'cid': '002105291328043723'}
{'cname': '中交国环（北京）建设工程有限公司', 'corcode': '91110109MA00D4850W', 'cid': '002105291328043724'}
{'cname': '北京硕城建筑有限公司', 'corcode': '91110114MA01Q5GM5G', 'cid': '002105291323021386'}
{'cname': '北京远大建科建筑工程有限公司', 'corcode': '91110109MA01YWHW0B', 'cid': '002105291328041305'}
{'cname': '北京昌泰伟业建筑工程有限公司', 'corcode': '91110114MA01W5GJ36', 'cid': '002105291328041316'}
{'cname': '北京恒业润达建筑有限公司', 'corcode': '91110117MA0200CM5R', 'cid': '002105291328041311'}
{'cname': '中工立业建设有限公司', 'corcode': '91110117MA01Y43380', 'cid': '002105291328041317'}
{'cname': '中一华创（北京）建设有限公司', 'corcode': '91110109MA01XRH85Q', 'cid': '002105291328041663'}
{'cname': '北京宏达永鑫机械设备租赁有限公司', 'corcode': '91110105567433528T', 'cid': '002105291328041664'}
{'cname': '北京四泽建筑装饰工程有限公司', 'corcode': '91110105062790378D', 'cid': '002105291241616462'}
{'cname': '北京市勘察设计研究院有限公司', 'corcode': '91110108668419194P', 'cid': '002105291241616463'}
{'cname': '北京鑫利豪泰建设工程有限公司', 'corcode': '9111010658257111XT', 'cid': '002105291241589049'}
{'cname': '北京博艺宏发建筑工程有限公司', 'corcode': '91110111MA04GQRW29', 'cid': '002201011916249846'}
{'cname': '中建盛瑞（北京）建设工程有限公司', 'corcode': '91110109MA0041YK10', 'cid': '002105291241616475'}
{'cname': '北京兴达瑞峰建筑工程有限公司', 'corcode': '91110115690813921C', 'cid': '002105291241616476'}
{'cname': '桑普能源科技有限公司', 'corcode': '91110114MA00C66QXW', 'cid': '002105291241616479'}
{'cname': '中胜（北京）建设有限公司', 'corcode': '91110111MA00FT9J0A', 'cid': '002105291241589050'}
{'cname': '北京国泰嘉业建设有限公司', 'corcode': '91110116MA01AHEB8B', 'cid': '002105291241616484'}
{'cname': '玮发台企（北京）环境工程有限公司', 'corcode': '911101016908326207', 'cid': '002105291241589059'}
{'cname': '正和恒泰（北京）科技有限公司', 'corcode': '91110105078584720D', 'cid': '002105291241601142'}
{'cname': '北京创汇嘉盛装饰工程有限公司', 'corcode': '911101097719977693', 'cid': '002105291241601143'}
{'cname': '北京圣铸科技发展有限公司', 'corcode': '91120106578309661B', 'cid': '002105291241616678'}
{'cname': '北京新悦广发电力工程有限公司', 'corcode': '911101157355776523', 'cid': '002105291241589072'}
{'cname': '北京易宏装饰工程有限公司', 'corcode': '91110107789991816M', 'cid': '002105291241589539'}
{'cname': '中材（北京）地热能科技有限公司', 'corcode': '91110109MA01J4PQ4B', 'cid': '002105291249714039'}
{'cname': '北京斌悍商贸有限公司', 'corcode': '9111011679344775X1', 'cid': '002105291248679189'}
{'cname': '北京双通世纪科技发展有限公司', 'corcode': '91110114MA00744H0B', 'cid': '002105291248679190'}
{'cname': '北京康得乐建筑物拆除有限公司', 'corcode': '91110116785548235C', 'cid': '002105291248679193'}
{'cname': '北京荣海建设工程有限公司', 'corcode': '91110111MA01FQJ28R', 'cid': '002105291249714400'}
{'cname': '中建兴建筑绿化股份有限公司', 'corcode': '91110000335490910R', 'cid': '002105291248679542'}
{'cname': '国泰宏大（北京）建设有限公司', 'corcode': '91110109MA01G4CP7M', 'cid': '002105291248679908'}
{'cname': '北京大业美家家居装饰集团有限公司', 'corcode': '91110105080512574F', 'cid': '002105291248680242'}
{'cname': '北京润通洪达建筑工程有限公司', 'corcode': '91110116MA017BG83H', 'cid': '002105291248680246'}
{'cname': '五度建筑装饰（北京）有限公司', 'corcode': '91110117802937604Y', 'cid': '002105291248680255'}
{'cname': '北京博世科环保科技有限公司', 'corcode': '911101053995136243', 'cid': '002105291248676048'}
{'cname': '北京富兴合创建筑工程有限公司', 'corcode': '91110111MA00CJ303X', 'cid': '002105291248676047'}
{'cname': '北京奥创建筑设计有限公司', 'corcode': '911101085752106072', 'cid': '002105291249713690'}
{'cname': '北京科瑞基工程设计咨询有限公司', 'corcode': '91110105737676363E', 'cid': '002105291249713694'}
{'cname': '北京锦程伟业建设有限公司', 'corcode': '91110111MA01JLAM2P', 'cid': '002105291248676053'}
{'cname': '中业迈腾（北京）建筑有限公司', 'corcode': '91110109MA7L85KP86', 'cid': '002206282012341109'}
{'cname': '北京中荣创建筑工程有限公司', 'corcode': '91110114MA7KR81H25', 'cid': '002206112012332234'}
{'cname': '北京中业伟胜建筑工程有限公司', 'corcode': '91110109MA7KA98WXP', 'cid': '002206112012332238'}
{'cname': '北京中业伟达建筑工程有限公司', 'corcode': '91110109MA7K0KDH46', 'cid': '002206112012332242'}
{'cname': '北京优胜源建筑工程有限公司', 'corcode': '91110117MA7LGBPA78', 'cid': '002206112012332243'}
{'cname': '北京建研城市更新工程技术有限公司', 'corcode': '91110112MA020WFE6Q', 'cid': '002205172011318248'}
{'cname': '北京有众文化服务有限公司', 'corcode': '91110113MA01QTKJ1B', 'cid': '002205172011318253'}
{'cname': '北京泰和金典装饰工程有限公司', 'corcode': '91110113579072838B', 'cid': '002205172011318254'}
{'cname': '中珲（北京）建筑有限公司', 'corcode': '91110109MA7JRURP23', 'cid': '002205102018315006'}
{'cname': '北京五创聚元建筑工程有限公司', 'corcode': '91110109MA04FCRY5A', 'cid': '002205102018315007'}
{'cname': '北京隆顺恒泰建筑工程有限公司', 'corcode': '91110109MA04CAGC3Q', 'cid': '002205102018315008'}
{'cname': '北京京电远大电力工程有限公司', 'corcode': '91110109MA04DPLF6H', 'cid': '002205102018315009'}
{'cname': '北京华星中讯科技有限公司', 'corcode': '911101086646459281', 'cid': '002205062010312344'}
{'cname': '北京市鼎新新技术有限责任公司', 'corcode': '911101081020490328', 'cid': '002205062010312345'}
{'cname': '北京蓝坤科技有限公司', 'corcode': '91110114MA007MXU0E', 'cid': '002206242019339691'}
{'cname': '北京格律升文博展示有限公司', 'corcode': '91110105MA00802X3F', 'cid': '002105291255768436'}
{'cname': '北京军伟联盛建筑工程有限公司', 'corcode': '91110113MA01P64573', 'cid': '002105291255768437'}
{'cname': '北京中州冀建筑工程有限公司', 'corcode': '91110111MA01PDY49H', 'cid': '002105291255768438'}
{'cname': '北京春豪建筑装饰有限公司', 'corcode': '91110116MA01A3369M', 'cid': '002105291255768442'}
{'cname': '北京晟泓鑫建设工程科技有限公司', 'corcode': '91110113MA01PREG8K', 'cid': '002105291255768443'}
{'cname': '北京中北腾飞建筑装饰工程有限公司', 'corcode': '9111010659235547XC', 'cid': '002105291255768449'}
{'cname': '北京千盛广丰建筑工程有限公司', 'corcode': '91110109MA01PG6KXG', 'cid': '002105291258788019'}
{'cname': '北京金正建筑装饰有限公司', 'corcode': '911101146976513552', 'cid': '002105291258788020'}
{'cname': '通号通信信息集团有限公司', 'corcode': '91110000102148647D', 'cid': '002105291255769832'}
{'cname': '北京市京达建筑工程有限公司', 'corcode': '911101131015682441', 'cid': '002105291255769833'}
{'cname': '北京仟山嘉业建筑装饰工程有限公司', 'corcode': '911101060741378941', 'cid': '002105291258789757'}
{'cname': '北京美达暖通工程有限公司', 'corcode': '91110117099314957W', 'cid': '002105291258789759'}
{'cname': '北京银航建筑工程有限公司', 'corcode': '91110228MA01QDW84C', 'cid': '002105291258789760'}
{'cname': '北京彩艺坊展示技术有限公司', 'corcode': '911101155568179648', 'cid': '002105291258789761'}
{'cname': '北京嘉诚兴旺建筑机械设备租赁有限公司', 'corcode': '91110117560422340T', 'cid': '002105291258789762'}
{'cname': '北京固彩装饰有限公司', 'corcode': '91110112761420384H', 'cid': '002205202013320816'}
{'cname': '中皓锦祥（北京）建设有限公司', 'corcode': '91110109MA7FQW475C', 'cid': '002205202013320817'}
{'cname': '中晖万鑫（北京）建设有限公司', 'corcode': '91110109MA7G0UKA56', 'cid': '002205202013320818'}
{'cname': '北京世纪鑫成建设工程有限公司', 'corcode': '91110111MA7H0UT01M', 'cid': '002205202013320819'}
{'cname': '北京励昂建设工程有限公司', 'corcode': '91110117MA7G63T0XH', 'cid': '002207072046347496'}
{'cname': '北京良企建设工程有限公司', 'corcode': '91110117MABNWRKJ90', 'cid': '002207072046347497'}
{'cname': '中亿天诚（北京）建设有限公司', 'corcode': '91110109MA7HMPRJ09', 'cid': '002207072046347498'}
{'cname': '北京中鼎基业建筑工程有限公司', 'corcode': '91110229MA0090BG77', 'cid': '002205262015323937'}
{'cname': '北京北投城市运营管理有限公司', 'corcode': '91110112MA01H7QW7N', 'cid': '002205262017323938'}
{'cname': '北京京安建城工程有限公司', 'corcode': '91110109MA7K5CNE9R', 'cid': '002205202013320846'}
{'cname': '北京中科嘉固建筑工程有限公司', 'corcode': '91110109MA7HKNE14Y', 'cid': '002205202013320847'}
{'cname': '北京万宇恒通建筑工程有限公司', 'corcode': '91110109MA7HWN6C92', 'cid': '002205202013320848'}
{'cname': '北京昌汇建设工程有限公司', 'corcode': '91110109MA01WQM97P', 'cid': '002205202013320849'}
{'cname': '光大国际建设发展（北京）有限公司', 'corcode': '91110000069575996Q', 'cid': '002205262022323960'}
{'cname': '中兴元鑫（北京）建筑工程有限公司', 'corcode': '91110115MA04GB1N2N', 'cid': '002205252013323257'}
{'cname': '北京中晨冠创建设有限公司', 'corcode': '91110109MA02M31Q67', 'cid': '002112311916248991'}
{'cname': '北京华深建设工程有限公司', 'corcode': '91110109MA02AYD09R', 'cid': '002112291917246989'}
{'cname': '永立兴华（北京）建设有限公司', 'corcode': '91110117MA02M21L22', 'cid': '002112151918235901'}
{'cname': '北京首匠建设有限公司', 'corcode': '91110117MA02B3904T', 'cid': '002112151918235902'}
{'cname': '中常智远（北京）建筑工程有限公司', 'corcode': '91110117MA04BWH9XQ', 'cid': '002112151918235910'}
{'cname': '北京南山和清工程咨询有限公司', 'corcode': '91110117573173136U', 'cid': '002112151918237643'}
{'cname': '北京宣龙建设有限公司', 'corcode': '91110109MA04C9502K', 'cid': '002201050956250723'}
{'cname': '北京景朋建设有限公司', 'corcode': '91110109MA04C8RY8F', 'cid': '002201050956250724'}
{'cname': '北京恭创建筑工程设计有限公司', 'corcode': '91110117MA7CXFFD3E', 'cid': '002112291917247096'}
{'cname': '中志恒通（北京）建筑工程有限公司', 'corcode': '91110109MA04GCUNXF', 'cid': '002112181917239580'}
{'cname': '鸿成伟业（北京）建筑工程有限公司', 'corcode': '91110109MA029TRQ19', 'cid': '002112181917239581'}
{'cname': '中移信息系统集成有限公司', 'corcode': '91110106MA01YDRE52', 'cid': '002112161923238018'}
{'cname': '北京兴运恒邦科技有限公司', 'corcode': '91110115MA04F1KN0N', 'cid': '002112211917240906'}
{'cname': '北京悦贸科技有限公司', 'corcode': '91110115MA04F3H25L', 'cid': '002112211917240907'}
{'cname': '北京笑跃工程技术有限公司', 'corcode': '91110115MA04EC3F1F', 'cid': '002112211917240910'}
{'cname': '北京恒泰瑞景建筑工程有限公司', 'corcode': '911101113990673026', 'cid': '002105291328045060'}
{'cname': '北京广信声源环境科技有限公司', 'corcode': '91110111MA00E18W9E', 'cid': '002105291322011170'}
{'cname': '北京鼎言建筑工程有限公司', 'corcode': '91110117MA01X1P850', 'cid': '002105291328045399'}
{'cname': '北京龙功建筑工程有限公司', 'corcode': '91110114MA01XPBU1N', 'cid': '002105291328045401'}
{'cname': '北京友联诚控科技发展有限公司', 'corcode': '91110115MA01YPLW7K', 'cid': '002105291322011171'}
{'cname': '北京艳利安铭运输有限公司', 'corcode': '92110116MA00R49H10', 'cid': '002105291328045404'}
{'cname': '北京绿海锦秀市政园林工程有限公司', 'corcode': '91110113MA0095CR7Y', 'cid': '002105291328030895'}
{'cname': '中工建城建设有限公司', 'corcode': '91110109MA01UWRP5U', 'cid': '002105291328045407'}
{'cname': '世纪新科（北京）工程有限公司', 'corcode': '91110117MA01YKDD7C', 'cid': '002105291328045408'}
{'cname': '北京五福林园林绿化有限公司', 'corcode': '9111011568760263X8', 'cid': '002105291322011549'}
{'cname': '中世峰元科技发展（北京）有限公司', 'corcode': '91110112306393177W', 'cid': '002105291328030897'}
{'cname': '北京博亦兴建筑工程有限公司', 'corcode': '91110109MA01PNEY47', 'cid': '002105291322012576'}
{'cname': '北京众新建设工程有限公司', 'corcode': '91110109MA01WJ4MXC', 'cid': '002105291323021323'}
{'cname': '北京德创佳业空调净化设备有限公司', 'corcode': '91110105318186351N', 'cid': '002105291323021328'}
{'cname': '北京京拓宇技术有限公司', 'corcode': '9111010633980338XP', 'cid': '002105291322012578'}
{'cname': '北京中阳皓轩建设有限公司', 'corcode': '91110109MA7CMUP01E', 'cid': '002201192017261855'}
{'cname': '北京万向鸿基建设有限公司', 'corcode': '91110109MA7CQPMB0M', 'cid': '002201192017261856'}
{'cname': '北京中腾宏顺建设有限公司', 'corcode': '91110109MA7CQC3559', 'cid': '002201192017261857'}
{'cname': '中安宏泰（北京）建设有限公司', 'corcode': '91110109MA7DLNMK2G', 'cid': '002201192017261858'}
{'cname': '北京铂元建设有限公司', 'corcode': '91110109MA028LTT1X', 'cid': '002201192017261859'}
{'cname': '北京霖境通建设有限公司', 'corcode': '91110112MA7CM5X98T', 'cid': '002201192017261867'}
{'cname': '北京中浩长圣建筑工程有限公司', 'corcode': '91110117MA04H9YM4N', 'cid': '002201192017261868'}
{'cname': '北京文聚建设工程有限公司', 'corcode': '91110109MA04EEKU85', 'cid': '002201192017261870'}
{'cname': '北京昊川建筑工程有限公司', 'corcode': '91110109MA04GLGU2C', 'cid': '002201151919260059'}
{'cname': '博宇融通（北京）电气设备有限公司', 'corcode': '911101085923715920', 'cid': '002201151919260060'}
{'cname': '神州数码信息系统有限公司', 'corcode': '91110108700200644E', 'cid': '002201151919260061'}
{'cname': '北京君维建设工程有限公司', 'corcode': '91110109MA04EHLP1N', 'cid': '002201192017261871'}
{'cname': '北京员力源建筑装饰工程有限责任公司', 'corcode': '91110114697654820H', 'cid': '002201192017261872'}
{'cname': '北京万象天恒工程集团有限公司', 'corcode': '91110111MA01R2WG56', 'cid': '002201192017261873'}
{'cname': '北京星通建筑工程有限公司', 'corcode': '91110109MA04GJYG7H', 'cid': '002201192017261874'}
{'cname': '北京奥博兴达建筑装饰工程有限公司', 'corcode': '91110228MA01F2FG1C', 'cid': '002105291322974207'}
{'cname': '中海立宏（北京）建设有限公司', 'corcode': '91110109MA01PTRT28', 'cid': '002105291321971531'}
{'cname': '北京耀安消防工程有限公司', 'corcode': '91110111MA01UCDX7C', 'cid': '002105291322974203'}
{'cname': '北京新畴建设工程有限公司', 'corcode': '91110109MA01RWKBX8', 'cid': '002105291322974204'}
{'cname': '北京众远建筑工程有限公司', 'corcode': '91110115MA00230N4N', 'cid': '002105291313923874'}
{'cname': '中城永创（北京）建设有限公司', 'corcode': '91110109MA01MNA47F', 'cid': '002105291313924911'}
{'cname': '北京建研中天工程技术有限公司', 'corcode': '91110113664639544C', 'cid': '002105291313922473'}
{'cname': '北京天裕消防机电工程有限公司', 'corcode': '911101135923844062', 'cid': '002105291322974562'}
{'cname': '中营工程有限公司', 'corcode': '9111010968692993X7', 'cid': '002105291322974563'}
{'cname': '北京悦鹏市政工程有限公司', 'corcode': '911101173583158598', 'cid': '002105291322974564'}
{'cname': '北京中城安佑建筑工程有限公司', 'corcode': '91110109MA01NJKH18', 'cid': '002105291321971181'}
{'cname': '北京华泰深建建筑装饰工程有限公司', 'corcode': '91110228576862260T', 'cid': '002105291313922495'}
{'cname': '中联建投建设有限公司', 'corcode': '91110117718765707D', 'cid': '002105291313925630'}
{'cname': '锦昌建业（北京）建筑工程有限公司', 'corcode': '91110114MA01XDRQ8G', 'cid': '002105291322974220'}
{'cname': '北京御维工程管理有限公司', 'corcode': '91110106599692890P', 'cid': '002105291321972836'}
{'cname': '北京建通士鼎建筑装饰工程有限公司', 'corcode': '91110115722615066F', 'cid': '002105291240482721'}
{'cname': '北京华源伟业建筑工程有限公司', 'corcode': '911101096669289214', 'cid': '002105291240493249'}
{'cname': '北京金鼎轩装饰工程有限公司', 'corcode': '911101137614083938', 'cid': '002105291240493250'}
{'cname': '北京市海淀区信达电讯安装公司', 'corcode': '91110108101879472Q', 'cid': '002105291240493251'}
{'cname': '北京坤腾世纪科技有限公司', 'corcode': '91110108745497576N', 'cid': '002105291240493252'}
{'cname': '北京棋森集团股份有限公司', 'corcode': '914106003301671104', 'cid': '002105291240493396'}
{'cname': '北京凯琳建筑工程有限公司', 'corcode': '91110228692309227A', 'cid': '002105291240482722'}
{'cname': '北京东方金泰建筑装饰工程有限公司', 'corcode': '911101068022020772', 'cid': '002105291240493253'}
{'cname': '北京安之腾系统工程技术有限公司', 'corcode': '911101017003235210', 'cid': '002105291240493254'}
{'cname': '北京瑞立祥建筑工程有限公司', 'corcode': '911102280592981044', 'cid': '002105291240482723'}
{'cname': '北京航泰幕墙装饰工程有限公司', 'corcode': '911101177501032446', 'cid': '002105291240493255'}
{'cname': '北京沃尔达能源科技有限公司', 'corcode': '911101123067833516', 'cid': '002105291240482727'}
{'cname': '北京华班建筑劳务有限公司', 'corcode': '911102287825052999', 'cid': '002105291240482724'}
